,$,フリガナ,フリガナ2,属性ラベル,,,Word,フリガナ,フリガナ2,属性ラベル
,ENEOS,エネオス,,組織名,,,Empath,エンパス,,組織名
,宇佐美鉱油,ウサミコウユ,,組織名,,,諏訪,スワ,,人名
,ドラEVER,ドラエバー,,製品名,,,下地,シモジ,,人名
,トラボックス,トラボックス,,製品名,,,山崎,ヤマサキ,,人名
,宮城徹,ミヤギトール,,人名,,,NAONA,ナオナ,,その他
,福岡,フクオカ,,地名,,,WAV,ワブ,,その他
,インフォマティカ,インフォマティカ,,組織名,,,CSV,シーエスブイ,,その他
,世界のナベアツさん,セカイのナベアツサン,,人名,,,Emo Value Generator,エモバリュージェネレーター,,製品名
,RPM,アールピーエム,,その他,,,Windows,ウィンドウズ,,その他
,OCR,オーシーアール,,その他,,,千葉,チバ,,人名
,桂三度さん,カツラサンドサン,,人名,,,Empath Recoder,エンパスレコーダー,,製品名
,ファミリマート,ファミリマート,,組織名,,,Emo Daruma,エモダルマ,,製品名
,Kintone,キントーン,,その他,,,Google cloud,グーグルクラウド,,その他
,オービック,オービック,,組織名,,,NTTコミュニケーションズ,エヌティーティーコミュニケーションズ,,組織名
,OBIC7,オービックセブン,,その他,,,Linux,リナックス,,その他
,CRM,シーアールエム,,その他,,,カイクラ,カイクラ,,組織名
,セールスフォース,セールスフォース,,組織名,,,ドン・キホーテ,ドンキホーテ,,組織名
,Dynamics,ダイナミクス,,その他,,,Konel,コネル,,組織名
,PDF,ピーディーエフ,,その他,,,神さん,ジンサン,,人名
,チコちゃんに叱られる!,チコチャンニシカラレル,,その他,,,ISMS,アイエスエムエス,,その他
,大阪,オオサカ,オーサカ,地名,,,Gong,ゴング,,製品名
,別大,ベツダイ,,その他,,,JamRoll,ジャムロール,,製品名
,YOUTRUST,ユートラスト,,組織名,,,Beluga,ベルーガ,,製品名
,サブ３,サブスリー,,その他,,,Zoom,ズーム,,製品名
,駅伝,エキデン,,その他,,,Teams,チームズ,チームス,製品名
,ブラタモリ,ブラタモリ,,その他,,,ispec,アイスペック,,組織名
,タモリ,タモリ,,人名,,,あつしさん,アツシサン,,人名
,福大,フクダイ,,組織名,,,代々木公園,ヨヨギコーエン,,地名
,指宿,イブスキ,,地名,,,はなみさん,ハナミサン,,人名
,PSM,ピーエスエム,,組織名,,,Web3.0,ウェブスリー,ウェブサンテンゼロ,その他
,テニス,テニス,,その他,,,PHP,ピーエイチピー,,その他
,フラッシュアイディア,フラッシュアイディア,,その他,,,jQuery,ジェイクエリー,,その他
,ハムスト,ハムスト,,その他,,,note,ノート,,その他
,キャッチアップ,キャッチアップ,,その他,,,社内報,シャナイホー,,その他
,SKテレコム,エスケーテレコム,,組織名,,,Wantedly,ウォンテッドリー,,製品名
,ウルトラマラソン,ウルトラマラソン,,その他,,,PR Times,ピーアールタイムズ,,製品名
,四万十,シマント,,地名,,,師匠,シショー,,人名
,全日本実業団,ゼンニホンジツギョウダン,ゼンニホンジツギョーダン,その他,,,Salesforce,セールスフォース,,製品名
,日本選手権,二ホンセンシュケン,,その他,,,Slack,スラック,,製品名
,アロハトランスライン,アロハトランスライン,,組織名,,,アドミン,アドミン,,その他
,メタボリックシンドローム,メタボリックシンドローム,,その他,,,my stats,マイスタッツ,,製品名
,人間ドック,ニンゲンドック,,その他,,,ダルビッシュ,ダルビッシュ,,人名
,CT,シーティー,,その他,,,カープ,カープ,,組織名
,Green,グリーン,,組織名,,,愛知,アイチ,,地名
,スマートシューズ,スマートシューズ,,その他,,,ローンチ,ローンチ,,その他
,ミッドフット走法,ミッドフットソウコウ,ミッドフットソーコー,その他,,,不破さん,フワサン,,人名
,eスポーツ,イースポーツ,,その他,,,美鈴さん,ミスズサン,,人名
,サッカー,サッカー,,その他,,,アクセンチュア,アクセンチュア,,組織名
,バイオメカニクス,バイオメカニクス,,その他,,,アルムナイ,アルムナイ,,その他
,運動生理学,ウンドウセイリガク,ウンドーセーリガク,その他,,,Google Drive,グーグル　ドライブ,,その他
,整形外科,セイケイゲカ　,セーケーゲカ,その他,,,ボット,ボット,,製品名
,大阪学院大学,オオサカガクインダイガク,オーサカガクインダイガク,組織名,,,元気度,ゲンキド,,その他
,東京学芸大学,トウキョウガクゲイダイガク,トーキョーガクゲーダイガク,組織名,,,Calendly,カレンドリー,,製品名
,ウェビナー,ウェビナー,,その他,,,王将,オーショー,,その他
,paiza,パイザ,,組織名,,,uzi,リモ,,製品名
,山梨学院大学,ヤマナシガクインダイガク,,組織名,,,Google フォーム,グーグルフォーム,,その他
,上田誠仁,ウエダマサヒト,,人名,,,HubSpot,ハブスポット,,製品名
,ストックオプション,ストックオプション,,その他,,,ドンキ,ドンキ,,組織名
,コタエル信託,コタエルシンタク,,組織名,,,Airflow,エアフロウ,エアフロー,製品名
,プル―タス,プル―タス,,組織名,,,OmniaLINK,オムニアリンク,,製品名
,ドラマッチ,ドラマッチ,,その他,,,Facebook,フェイスブック,,組織名
,Carbide Ventures,カーバイドベンチャーズ,,組織名,,,ココナラ,ココナラ,,製品名
,Coral Capital,コーラルキャピタル,,組織名,,,岩井克人,イワイカツト,イワイカツヒト,人名
,リーテイルブランディング,リーテイルブランディング,,組織名,,,Smart相談室,スマートソウダンシツ,,製品名
,インフォマート,インフォマート,,組織名,,,ライセフ,ライセフ,,その他
,大友ロジスティックサービス,オオトモロジスティックサービス,,組織名,,,タイムボカンシリーズ,タイムボカンシリーズ,,その他
,ユーパーツ,ユーパーツ,,組織名,,,log,ログ,,その他
,ユビニティー,ユビニティー,,組織名,,,井原西鶴,イハラサイカク,,人名
,ユナイテッド・スーパーマーケット・ホールディングス,ユナイテッド・スーパーマーケット・ホールディングス,,組織名,,,AWS,エーダブリューエス,,その他
,オムロプリント,オムロプリント,,組織名,,,FFmpeg,エフエフエムペグ,,その他
,朝日PRセンター,アサヒピーアールセンター,,組織名,,,メディアコンバート,メディアコンバート,,その他
,MRS,エムアールエス,エムアールエス,組織名,,,ECS,oai,,その他
,SNS,エスエヌエス,,その他,,,python,パイソン,,その他
,ピンキー,ピンキー,,人名,,,ジョブ・キュー,ジョブキュー,,その他
,東京エレクトロン デバイス,トーキョーエレクトロンデバイス,,組織名,,,河東,カトウ,,人名
,AIREV,エーアイレブ,,組織名,,,HSL,エイチエスエル,,その他
,CO-OP,コープ,,組織名,,,カリキュレーター,カリキュレーター,,その他
,BPO,ビーピーオー,,組織名,,,AVI,エーブイアイ,,その他
,サンクスラ,サンクスラ,,組織名,,,クリエイトジョブ,クリエイトジョブ,,組織名
,TG光,ティージーヒカリ,,製品名,,,Google Meet,グーグル・ミート,,製品名
,文京,ブンキョウ,ブンキョー,地名,,,M3U8,エムスリーユーエイト,,その他
,Clubhouse,クラブハウス,クラハ,製品名,,,S3,エススリー,,その他
,Sunsun,サンサン,,製品名,,,TS,ティーエス,,その他
,よべーる,ヨベール,,製品名,,,Search Console,サーチンコール,,その他
,セールスフォース,セールスフォース,,組織名,,,3×3 Lab Future,サンサンラボフューチャー,,その他
